jurisdiction,country_code,small_jurisdiction,unique_id,lat,lon,region,income_group,population,level,year_imp,date_imp,last_update,update_detail,instrument,structure,basis_specific,basis_advalorem,products,carbonates,concentrates,energy_drinks,juice_unsweetened,juice_sweetened,milk_drinks,lcsb,water_unsweetened,exclusions,tiered,basis_tiers,bev,sug,pom,swe,threshold,rate,targeted,health_obj,earmarked,indexed,legislation,url_1
Suriname,SUR,0,SUR,,,LAC,UMIC,618040,National,2006,2006-02-01,N/I,N/A,Excise,Specific,Volume,N/A,"Non-alcoholic beverages under HS codes 2009, 2106, 2201, 2202",1,1,1,1,1,1,1,1,None,0,N/A,0,0,0,0,0,"USD$0.07 per liter on non-alcoholic beverages under HS headings 2009, 2106, 2201, 2202, including unsweetened water. USD$7 per 25kg on powder concentrates. ",0,0,0,0,S.B. 2006 no. 27 wijz. Wet Accijns Alcoholvrije Dranken (Non-Alcoholic Drinks Excise Tax Act (amendment) SB 2006 no. 27),
Tajikistan,TJK,0,TJK,,,ECA,LMIC,9952787,National,2018,2018-04-15,2018-06-09,"Rate increased from €0.02/L to €0.06/L on products under HS 2201, and €0.03/L to €0.09/L on HS 2202",Excise,Specific,Volume,N/A,HS 2201 and 2202,1,1,1,0,0,0,1,1,Juices and milk-based drinks ,1,BEV,1,0,0,0,0,"€0.06/L on unsweetened water-based beverages (HS 2201),€0.09/L on water-based SSB under HS 2202; ",1,0,0,0,Order No. 102 of 15th February 2014 - ҚАРОР Дар бораи тасдиқи меъѐрҳои андози аксиз барои баъзе молҳои дар Ҷумҳурии Тоҷикистон истеҳсолшаванда ва ба Ҷумҳурии Тоҷикистон воридшаванда [Approval of excise tax rates for some goods produced in and imported into the Republic of Tajikistan; Resolution No. 302 of 9th June 2018 - KАРОР Дар бораи меъёріои андози аксиз барои баъзе моліои дар Їуміурии Тоїикистон истеісолшаванда ва ба Їуміурии Тоїикистон воридшаванда [RESOLUTION On rates of the excise tax for some goods made in and imported into the Republic of Tajikistan],
"Tanzania, United Republic of",TZA,0,TZA,,,AFR,LMIC,65497748,National,2018,2018-01-01,N/I,N/A,Excise,Specific,Volume,N/A,All non-alcoholic beverages whether or not containing added sugar or other sweeteners ,1,1,1,1,1,1,1,1,None,1,"BEV, POM",1,0,1,0,0,"TShs 232 per L on imported fruit and vegetable juices of HS code 2009, whether or not containing added sugar or other sweeteners (TShs 9 per L on locally-produced equivalents); TShs 64.05 per L on imported waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter or flavoured; ice and snow of HS code 2201 (TShs 58 per L on locally-produced equivalents); TShs 61 per L on waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured of HS code 2202.10; TShs 589-05 per L on imported non-alcoholic beer and other beverages of HS codes 2202.91 and 2202.99 (Tshs 561 on locally-produced equivalents)",0,0,0,0," Finance Act 2018, Part V Amendment of the Excise (Management and Tariff) Act",
Thailand ,THA,0,THA,,,EAP,UMIC,71697030,National,2017,2017-09-01,N/I,N/A,Excise,Mixed,Volume,Retail sale price,"Non-alcoholic beverages, including juices, coffee and tea drinks, and concentrates intended for preparation, whether or not containing added sugar or other sweeteners ",1,1,1,1,1,1,1,1,None,1,"BEV, SUGAR",1,1,0,0,1,"10% on fruit and vegetable juices; 14% on artificial mineral water, soda water, soft drinks with and without sugar or other sweeteners and flavors (reduced from previous 20% rate).  Additional specific tax on all drinks with >6 g total sugar per 100 ml: THB 1 per liter on SSB containing 6–8g sugar per 100 ml; THB 3 per liter on SSB containing 8–10g sugar per 100 ml; THB 5 per liter on SSB containing >10 g per 100 ml. Maximum rate of 5 Baht per litre for fruit and vegetable juice, soda, and carbonated drinks and 44 Baht per litre for beverage concentrates.",1,1,0,0,Excise Act B.E. 2560 (2017),
"Timor-Leste, Dem. Republic of",TLS,0,TLS,,,EAP,LMIC,1341296,National,2023,2023-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Waters containing added sugar or other sweetening agents or flavoured waters and other non-alcoholic drinks, except fruit or vegetable juices ",1,0,1,0,0,0,1,0,Juices,0,N/A,0,0,0,0,0,"USD$3 per L on waters containing added sugar or other sweetening agents or flavoured waters and other non-alcoholic drinks, excluding fruit or vegetable juices ",1,1,0,0,2023 General State Budget (GSB) Law (Law 15/2022),
Togo,TGO,0,TGO,,,AFR,LIC,8848699,National,2019,2019-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,Sweetened non-alcoholic drinks under HS2202.91 and 2202.99; fresh fruit juice (HS Code 2009),1,0,1,1,1,1,1,0,Water   ,0,N/A,0,0,0,0,0,5% on sweetened non-alcoholic drinks under HS2202.91 and 2202.99; and juices (HS 2009),1,0,0,N/A,"Loi n° 2017- 002 du 17/01/2017 portant loi de finances, gestion 2017. Modifications du code general des impots; Loi N° 2018-024 portant Code Général des Impôts",
Tonga,TON,1,TON,-19.95208897,-174.8812015,EAP,UMIC,106858,National,2013,2013-01-01,2018-07-09,"Uniform excise duty of T$0.50 per liter replaced 15% import tariff in 2013; Rate increased to T$1.00 per liter in 2016; changed to tiered structure (with sugar content thresholds) in 2017 and base extended to include juices under HS heading 2009, rates changed in 2018",Excise,Specific,Volume,N/A,"Full sugar and artificially sweetened soft drinks, energy drinks, and other SSB under HS2202. Part of wider tax on unhealthy foods. ",1,0,1,0,0,0,1,0,"Unsweetened waters, concentrates, fruit juices and drinks",1,SUGAR  ,0,1,0,0,0,"T$0.05/L if total sugar content ≤5g/100ml; T$0.75/L if total sugar content >5g/100ml & ≤ 20g/100ml, or containing sweetening matter; T$1.50/L on HS 2202.10 if total sugar content >20g/100ml, with or without added sweetening matter; T$4/L on HS 2202.10.99 if total sugar content >20g/100ml, with or without added sweetening matter. Applies to caloric and artificially sweetened soft drinks, energy drinks, and other SSB under HS2202.",1,1,0,0,Excise Tax (Amendment) Order 2013; Excise Tax (Amendment) Order 2017; Excise Tax (Amendment) Order 2018,
Tunisia,TUN,0,TUN,,,MENA,LMIC,12356117,National,2018,2018-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value," Waters, including mineral waters and aerated waters containing added sugar or other sweetening matter or flavored and other non-alcoholic drinks (HS code 2202); fruit and vegetable juices, unfermented without addition of alcohol, with or without added sugar or other sweeteners (HS 2009), Preparations containing cocoa (HS 1806); Extracts, essences and concentrates of coffee, tea or mate and preparations with a basis of these products or with a basis of coffee, tea, or mate…and extracts, essences, and concentrates thereof (HS 2101); Food preparations not included elsewhere (HS 2106)",1,1,1,1,1,1,1,0,Unsweetened waters (HS 2201),0,N/A,0,0,0,0,0,"25% on beverages under HS headings 2009, 2202, and 2101; 10% on beverages under HS 1806 (cocoa-based preparations); 40% on concentrates",1,0,0,N/A,"Loi n° 2017-66 du 18 décembre 2017, portant loi de finances pour l’année 2018",
Türkiye,TUR,0,TUR,,,ECA,UMIC,85341241,National,2002,2002-08-01,2017-01-01,Base extended in 2017 from 'cola sodas' to include juices and other SSB,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Cola sodas' under HS 2202.10.00; fruit juices, nectars and drinks excl. 100% juice (HS 2009); lemonades; energy drinks; sports drinks; cold tea and coffee; tonic; and similar sweetened or flavored beverages",1,0,1,0,1,1,1,0,"100% juice, flavored and plain mineral water",0,N/A,0,0,0,0,0,"35% on sodas under HS 2202.10.00, sweetened juices (HS 2009), lemonades, energy drinks, sports drinks, sweetened teas and coffees, and similar sweetened or flavored beverages",1,0,0,N/A,2014/7127 Bazi Mallara Uygulanan Özel Tüketİm Vergİsİ Oranlari İle Maktu Ve Asgarİ Maktu Vergİ Tutarlarinin Tespİt Edİlmesİ Hakkinda Karar [Special Consumption Tax],
Tuvalu,TUV,1,TUV,-7.471207176,178.6724115,EAP,UMIC,11312,National,2009,2009-01-01,2020-01-01,Rate increased in 2020 from 10% to 30%,Excise,Ad valorem,N/A,Import value ,All soft drinks under HS 22.02.10.11. ,1,0,1,0,0,0,1,0,"Juices, milk-based drinks, concentrates, plain water",0,N/A,0,0,0,0,0,30% on all soft drinks under HS 22.02.10.11. ,1,1,0,N/A,Customs Excise Duties Order 2020,
Uganda,UGA,0,UGA,,,AFR,LIC,47249585,National,2014,2014-01-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,"Non-alcoholic beverages, excluding juice made from at least 30% of pulp from fruit and vegetables grown in Uganda",1,0,1,0,0,1,1,1,Juice made from at least 30% of pulp from fruit and vegetables grown in Uganda,1,BEV,1,0,0,0,0,"12% or UGX 200 (approx. 0.05 USD) per litre, whichever is higher, on non-alcoholic beverages excl. fruit and vegetable juices. Fruit and vegetable juice (except juice made from at least 30% of pulp from fruit and vegetables grown in Uganda) 13% or UGX 300 (approx. 0.08 USD) per litre, whichever is higher.",0,0,0,0,Excise Duty Act 2014; Excise Duty Amendment Act 2018,
United Arab Emirates,ARE,0,ARE,,,MENA,HIC,9441129,National,2017,2017-06-09,2019-08-04,Base extended in 2019 beyond energy and carbonated drinks to cover all SSB,Excise,Ad valorem,N/A,Retail sale price,"All drinks containing added sugars or sweetener, including concentrate, powder or other substance that is mixed with water to be made into a beverage",1,1,1,0,1,0,1,0,"Plain water, RTD beverages containing at least 75% milk or milk substitutes",1,BEV,1,0,0,0,0,"50% on all soft drinks, except sparkling water; 100% on energy drinks",1,1,0,N/A,"Federal Decree Law Number 7 of 2017 on Excise Tax. Cabinet Decision No. 52 of 2019 on Excise Goods, Excise Tax Rates and the Methods of Calculating the Excise Price. ",
United Kingdom,GBR,0,GBR,,,ECA,HIC,66971411,National,2018,2018-04-06,N/I,N/A,Excise,Specific,Volume,N/A,"Any prepackaged soft drink with added sugar containing at least 5 g of total sugars per 100 ml. Added sugar defined as mono or disaccharides, or anything (other than fruit juice, vegetable juice and milk) that contains sugar, such as honey",1,1,1,0,1,0,0,0,"Milk-based drinks with >75% milk, milk substitute drinks (e.g. plant based milks), pure fruit juices or any other drinks with no added sugar, alcohol substitute drinks, LCSB, and soft drinks of a specified description which are for use for medicinal or other specified purposes. Producers with <1 million litres/year exempt.  ",1,SUGAR  ,0,1,0,0,1, ₤0.18 per liter (US$0.25) on drinks with 5–8 g total sugar per 100 ml; ₤0.24 per liter (US$0.34) on drinks with >8 g total sugar per 100 ml. Applies to any prepackaged soft drink with added sugar containing >5 g of total sugars per 100 ml.,1,1,1,0,"Finance Act 2017, Soft Drinks Industry Levy Regulations 2018",
Uruguay,URY,0,URY,,,LAC,HIC,3422794,National,1990,1990-02-21,N/I,N/A,Excise,Specific,Volume,N/A,"Carbonated and non-carbonated soft drinks, sweetened with caloric or non-caloric sweeteners, mineral waters, juices and fruit drinks, energy drinks, concentrates and syrups",1,1,1,1,1,0,1,1,"Milk-based drinks, yoghurt drinks",1,BEV,1,0,0,0,0,"Structured as an ad valorem tax applied on fixed tax base amounts - precios fictos - per volume varying by beverage category, effectively operating as a specific (volume-based) tax.  The fixed tax base amounts—“precios fictos”—are usually adjusted annually; however, it is not mandated by law. Precios fictos adjusted in Dec 2021 (Decreto 443/021) for 2022 year at (per litre): $20.79 for mineral waters and sodas, 32.73 for fresh or reconstituted juices or nectars with minimum 50% fruit juice content, $35.95 for other juice-based drinks, $32.73 for liquid meal replacements, $$57.41 for malts, $35.95 for energy drinks, $7.74 for solid concentrates, $80.33 for non-alcoholic beers. Ad valorem rates currently set at: 8% on mineral waters and sodas, 12% on fresh or reconstituted juices or nectars with minimum 50% fruit juice content, 18% on other juice-based drinks, 12% on energy drinks and liquid meal replacements, 14% on malts, 18% on solid concentrates. Imports are calculated as the fixed value for domestic products multiplied by two, which means that imported products are subject to higher charges.  ",0,0,0,1,Decreto No. 96/990 of 21/2/1990 - Reglamentacion del Impuesto Especifico Interno (IMESI); Decree No. 17/996 of 24/1/1996; Decreto 20.019; Ley Nº 17.151 Modificanse los articulos que se determinan del Decreto-Ley Nº 14.416,
Vanuatu,VUT,1,VUT2,-16.21586515,167.7193617,EAP,LMIC,N/A,National,2002,2002-01-01,2012-01-01,Ad valorem tariff replaced specific tariff in 2017 ,Import,Ad valorem,N/A,Import value ,Soft drinks containing added sugar or other sweeteners or flavoring; Electrolyte/sports drinks,1,1,1,0,1,0,1,0,"Milk-based drinks, plain water",0,N/A,0,0,0,0,0,75% tariff on imported sweetened water-based beverages under HS 2202.10 and 2202.90; 30% (+ no excise duty) on waters under HS 2201; 15%  (+ no excise duty) on concentrates and syrups under HS 2106.90; 20%  (+ no excise duty) on sweetened and unsweetened juices under HS 2009.,1,1,0,N/A,Republic of Vanuatu. Import Duties (Consolidation) (Amendment) Act No. 33 of 2014,
Vanuatu ,VUT,1,VUT1,-16.21586515,167.7193617,EAP,LMIC,326740,National,2015,2015-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other nonalcoholic beverages (HS 2202.10 and HS 2202.90)",1,1,1,0,0,0,1,0,"Fruit and vegetable juices, whether or not containing added sugar or other sweetening matter; Plain water; Milk",0,N/A,0,0,0,0,0,VT 50 per liter on imported and locally produced sweetened beverages (HS 2202),1,1,0,0,"Vanuatu Excise Act; Excise (Amendment) Act No. 32 of 2014; Consolidated Edition 2015, Chapter 290",
Wallis and Futuna,WLF,1,WLF,-13.74478973,-177.0726984,EAP,N/C,N/A,National,2017,2017-01-01,2017-08-01,Rate on SSB increased from 20% to 30%,Import,Ad valorem,N/A,Import value ,"SSB (HS 2202, 2106, 2009) and non-SSB (2201)",1,1,1,1,1,1,1,1,Products of EU origin ,0,N/A,0,0,0,0,0,"30% on sweetened beverages under HS headings 2202, 2106, and 2009; 4% on unsweetened bottled water (HS 2201), concentrates, and 100% juices",1,0,0,N/A,Art. 28 of the National Customs Code; Tarif des Douanes,
"Yap, Federated States of Micronesia",FSM,1,FSM2,7.535054197,146.1023518,EAP,LMIC,N/A,State/Province,1981,1981-05-05,N/I,N/A,Excise,Specific,Volume,N/A,Soft drinks and non-alcoholic beverages other than fruit or vegetable juices and dairy products,1,1,1,0,0,0,1,1,"Fruit and vegetable juices, dairy-based drinks",0,N/A,0,0,0,0,0,$0.10 per 12 fl. oz or less and $0.15 per container of more than 12 fl. oz. Applies to non-alcoholic beverages excluding fruit or vegetable juices and dairy products,0,0,0,0,"1979 State Tax Act, 1987 Yap State Code, 2000 Yap State Code (Title 13, Ch 1)",
Zambia,ZMB,0,ZMB,,,AFR,LMIC,20017675,National,2018,2018-01-01,N/I,N/A,Excise,Specific,Volume,N/A,Non-alcoholic beverages of HS heading 2202,1,1,1,0,0,0,1,0,Non-alcoholic beverages of HS headings 2009 and 2201,0,N/A,0,0,0,0,0,ZMWO 3 per liter on non-alcoholic beverages of HS heading 2202,1,0,0,0,Customs and Excise Amendment Act No. 19 of 2018,
Zimbabwe,ZWE,0,ZWE,,,AFR,LMIC,16320537,National ,2022,2022-01-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,"Carbonated unsweetened waters under HS 2201, energy drinks (HS 2202.10.19), ",0,0,1,0,0,0,0,1,"All SSB except energy drinks, non-carbonated unsweetened water",1,BEV,1,0,0,0,0,"25% on carbonated unsweetened waters under HS 2201, US$0.05/L on energy drinks",0,1,0,0,"Customs and Excise Tariff Notice, S.I 203 of 2022",
French Guiana (Fr.),FRA,0,FRA1,,,ECA,HIC,67749632,National,2012,2012-01-01,2018-01-01,Uniform volume-specific tax replaced with current design,Excise,Specific,Volume,N/A,"Non-alcoholic beverages containing added sugar or sweeteners under HS2202 and HS 2009, including sodas, fruit drinks, flavored waters, and ‘light’ drinks",Y,N,Y,N,Y,N,Y,N,"100% juices, milk-based drinks, concentrates",Y,SUGAR,0,1,0,0,N,"Sliding scale tax starting at €0.03 per L for beverages containing ≤1 g sugar per 100 ml, up to €0.2412 per L for beverages containing 15g sugar per L. Additional €0.0205 per kg added sugar on beverages containing >15g sugar per L; €0.03 per L on non-calorically sweetened drinks; €0.0054 per L on natural or artificial waters.",Y,Code general des impôts: Article 1613 (General Tax Code: Article 1613).,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000025051331/2011-12-30,,,
Martinique (Fr.),FRA,1,FRA2,14.65734692,-60.98990707,ECA,HIC,67749632,National,2012,2012-01-01,2018-01-01,Uniform volume-specific tax replaced with current design,Excise,Specific,Volume,N/A,"Non-alcoholic beverages containing added sugar or sweeteners under HS2202 and HS 2009, including sodas, fruit drinks, flavored waters, and ‘light’ drinks",Y,N,Y,N,Y,N,Y,N,"100% juices, milk-based drinks, concentrates",Y,SUGAR,0,1,0,0,N,"Sliding scale tax starting at €0.03 per L for beverages containing ≤1 g sugar per 100 ml, up to €0.2412 per L for beverages containing 15g sugar per L. Additional €0.0205 per kg added sugar on beverages containing >15g sugar per L; €0.03 per L on non-calorically sweetened drinks; €0.0054 per L on natural or artificial waters.",Y,Code general des impôts: Article 1613 (General Tax Code: Article 1613).,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000025051331/2011-12-30,,,
Guadeloupe (Fr.),FRA,1,FRA3,16.2424164,-61.5485157,ECA,HIC,67749632,National,2012,2012-01-01,2018-01-01,Uniform volume-specific tax replaced with current design,Excise,Specific,Volume,N/A,"Non-alcoholic beverages containing added sugar or sweeteners under HS2202 and HS 2009, including sodas, fruit drinks, flavored waters, and ‘light’ drinks",Y,N,Y,N,Y,N,Y,N,"100% juices, milk-based drinks, concentrates",Y,SUGAR,0,1,0,0,N,"Sliding scale tax starting at €0.03 per L for beverages containing ≤1 g sugar per 100 ml, up to €0.2412 per L for beverages containing 15g sugar per L. Additional €0.0205 per kg added sugar on beverages containing >15g sugar per L; €0.03 per L on non-calorically sweetened drinks; €0.0054 per L on natural or artificial waters.",Y,Code general des impôts: Article 1613 (General Tax Code: Article 1613).,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000025051331/2011-12-30,,,
La Réunion (Fr.),FRA,1,FRA4,-21.12990559,55.53165831,ECA,HIC,67749632,National,2012,2012-01-01,2018-01-01,Uniform volume-specific tax replaced with current design,Excise,Specific,Volume,N/A,"Non-alcoholic beverages containing added sugar or sweeteners under HS2202 and HS 2009, including sodas, fruit drinks, flavored waters, and ‘light’ drinks",Y,N,Y,N,Y,N,Y,N,"100% juices, milk-based drinks, concentrates",Y,SUGAR,0,1,0,0,N,"Sliding scale tax starting at €0.03 per L for beverages containing ≤1 g sugar per 100 ml, up to €0.2412 per L for beverages containing 15g sugar per L. Additional €0.0205 per kg added sugar on beverages containing >15g sugar per L; €0.03 per L on non-calorically sweetened drinks; €0.0054 per L on natural or artificial waters.",Y,Code general des impôts: Article 1613 (General Tax Code: Article 1613).,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000025051331/2011-12-30,,,
Mayotte (Fr.),FRA,1,FRA5,-12.83019156,45.1593687,ECA,HIC,67749632,National,2012,2012-01-01,2018-01-01,Uniform volume-specific tax replaced with current design,Excise,Specific,Volume,N/A,"Non-alcoholic beverages containing added sugar or sweeteners under HS2202 and HS 2009, including sodas, fruit drinks, flavored waters, and ‘light’ drinks",Y,N,Y,N,Y,N,Y,N,"100% juices, milk-based drinks, concentrates",Y,SUGAR,0,1,0,0,N,"Sliding scale tax starting at €0.03 per L for beverages containing ≤1 g sugar per 100 ml, up to €0.2412 per L for beverages containing 15g sugar per L. Additional €0.0205 per kg added sugar on beverages containing >15g sugar per L; €0.03 per L on non-calorically sweetened drinks; €0.0054 per L on natural or artificial waters.",Y,Code general des impôts: Article 1613 (General Tax Code: Article 1613).,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000025051331/2011-12-30,,,
